student,type,id,value,group,label
ctrlC_ref,ctrlC_ref,gsm8k-195,-0.6717120185881094,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-196,-0.9084694482577007,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-197,-0.8004463867010432,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-198,-0.358851377849551,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-199,-0.38027634930763804,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-2,-0.707070368266125,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-20,-1.0162520264528736,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-21,-0.4943019353459317,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-22,-0.7009283166549808,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-23,-1.1950888599445906,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-24,-0.8749878279684082,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-25,-0.267725063817201,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-26,-0.32742007235040516,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-27,-0.852954810789921,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-28,-0.5417267864079776,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-29,-0.6818787008534218,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-3,-0.8905859941387914,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-30,-0.8350171201304024,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-31,-0.6615787554317067,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-32,-1.0668412191236785,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-33,-0.426734523196066,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-34,-0.6461745454592472,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-35,-0.6167191671045805,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-36,-0.7878075649917083,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-37,-0.4635823890012318,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-38,-0.7151319570218122,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-39,-0.4644888197633723,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-4,-0.5973052170465085,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-40,-0.9924606714290147,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-41,-0.34721577564032624,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-42,-0.9894247843484296,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-43,-0.5273889587515954,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-44,-0.525362690099455,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-45,-0.6237574855404846,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-46,-0.8600644230836119,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-47,-0.5504041094391864,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-48,-0.804961939828827,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-49,-0.7668004176531092,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-5,-0.5227727528861468,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-50,-0.7128131627795521,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-51,-1.0601722181339623,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-52,-0.5920840391232385,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-53,-0.49752576676196164,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-54,-0.7492396687562168,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-55,-0.8049252361442393,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-56,-1.0778937614878072,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-57,-0.5449165226887217,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-58,-0.6261569742904747,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-59,-0.6773782485794742,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-6,-0.42620508269836177,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-60,-0.9767719614383044,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-61,-0.7994189289222411,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-62,-0.40454298460083177,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-63,-0.6789589578438575,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-64,-0.49323280334987324,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-65,-0.6694442638911902,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-66,-0.6193152220018305,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-67,-0.4754907267943864,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-68,-0.7375285993433096,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-69,-0.5900629311576748,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-7,-0.5988132214640298,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-70,-0.6317059392636439,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-71,-0.8972954752033093,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-72,-0.5692423427090227,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-73,-0.5710825336520203,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-74,-0.3173179963018527,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-75,-0.6343742044642149,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-76,-0.577256101184727,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-77,-0.46357846634569827,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-78,-0.19905533869846787,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-79,-1.0048549885452902,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-8,-0.4501862011920375,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-80,-0.7154237676569757,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-81,-0.4506818492005557,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-82,-0.7429318545769028,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-83,-0.697102216601835,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-84,-0.6536952067581461,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-85,-0.9339040414539383,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-86,-0.5273459594132995,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-87,-0.35338858424193464,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-88,-0.8877483582541447,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-89,-0.5827679116531594,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-9,-0.6075559156742656,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-90,-0.5036167575108536,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-91,-0.46212238409025364,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-92,-0.2052633454203434,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-93,-0.6004462640263132,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-94,-0.46531674221275976,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-95,-0.39928434586544714,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-96,-1.0421916448041553,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-97,-1.0561582189158998,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-98,-0.5728719975041574,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-99,-0.7756296798563044,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-0,-1.0213755708813186,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-1,-1.272678999218504,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-10,-0.5479035029931929,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-100,-0.5388555898821845,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-101,-0.6967599338832478,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-102,-1.090038621617513,non-distilled control,Human-ref control
