threshold,fpr,tpr,stratum,method
0.21935036386140316,0.0016666666666666668,0.042222222222222223,all distilled,CML
0.21782844062170265,0.0016666666666666668,0.042777777777777776,all distilled,CML
0.21777470457272635,0.0016666666666666668,0.043333333333333335,all distilled,CML
0.21724301748228597,0.0016666666666666668,0.04388888888888889,all distilled,CML
0.2157401473016043,0.0016666666666666668,0.044444444444444446,all distilled,CML
0.21455277252806318,0.0016666666666666668,0.045,all distilled,CML
0.2136322837512878,0.0016666666666666668,0.04555555555555556,all distilled,CML
0.20888271521618823,0.0016666666666666668,0.04611111111111111,all distilled,CML
0.20766132495835482,0.0016666666666666668,0.04666666666666667,all distilled,CML
0.20660932438539859,0.0016666666666666668,0.04722222222222222,all distilled,CML
0.20657935753643758,0.0016666666666666668,0.04777777777777778,all distilled,CML
0.20581140954702104,0.0016666666666666668,0.04833333333333333,all distilled,CML
0.2009709731924254,0.0016666666666666668,0.04888888888888889,all distilled,CML
0.20039367822568474,0.0016666666666666668,0.049444444444444444,all distilled,CML
0.19968299497879566,0.0016666666666666668,0.05,all distilled,CML
0.19795583395172858,0.0016666666666666668,0.050555555555555555,all distilled,CML
0.19622244066765787,0.0016666666666666668,0.051111111111111114,all distilled,CML
0.19583328862529253,0.0016666666666666668,0.051666666666666666,all distilled,CML
0.19543012099376522,0.0016666666666666668,0.052222222222222225,all distilled,CML
0.19423803653331237,0.0016666666666666668,0.05277777777777778,all distilled,CML
0.19254537883353723,0.0016666666666666668,0.05333333333333334,all distilled,CML
0.1891373254967711,0.0016666666666666668,0.05388888888888889,all distilled,CML
0.18860382642132922,0.0016666666666666668,0.05444444444444444,all distilled,CML
0.1877458704168955,0.0016666666666666668,0.055,all distilled,CML
0.1875586592175821,0.0016666666666666668,0.05555555555555555,all distilled,CML
0.18647479150274718,0.0016666666666666668,0.05611111111111111,all distilled,CML
0.18639814607353655,0.0016666666666666668,0.056666666666666664,all distilled,CML
0.18635549699119253,0.0016666666666666668,0.05722222222222222,all distilled,CML
0.1849585764143838,0.0016666666666666668,0.057777777777777775,all distilled,CML
0.1848674589676728,0.0016666666666666668,0.058333333333333334,all distilled,CML
0.18318720676105366,0.0016666666666666668,0.058888888888888886,all distilled,CML
0.18266080795045173,0.0016666666666666668,0.059444444444444446,all distilled,CML
0.18130895052350982,0.0016666666666666668,0.06,all distilled,CML
0.1809204424292701,0.0016666666666666668,0.06055555555555556,all distilled,CML
0.18024302171571094,0.0016666666666666668,0.06111111111111111,all distilled,CML
0.1796691513525971,0.0016666666666666668,0.06166666666666667,all distilled,CML
0.17919147925253923,0.0016666666666666668,0.06222222222222222,all distilled,CML
0.17840915852650607,0.0016666666666666668,0.06277777777777778,all distilled,CML
0.17818031937064194,0.0016666666666666668,0.06333333333333334,all distilled,CML
0.17746100772110074,0.0016666666666666668,0.06388888888888888,all distilled,CML
0.17497558494262455,0.0016666666666666668,0.06444444444444444,all distilled,CML
0.17476998675678582,0.0016666666666666668,0.065,all distilled,CML
0.17458947931152122,0.0016666666666666668,0.06555555555555556,all distilled,CML
0.17411367482710727,0.0016666666666666668,0.0661111111111111,all distilled,CML
0.17402120798760728,0.0016666666666666668,0.06666666666666667,all distilled,CML
0.17131692505190574,0.0016666666666666668,0.06722222222222222,all distilled,CML
0.17017418983026106,0.0016666666666666668,0.06777777777777778,all distilled,CML
0.17008465601993017,0.0016666666666666668,0.06833333333333333,all distilled,CML
0.16965094368372485,0.0016666666666666668,0.06888888888888889,all distilled,CML
0.16808705041871605,0.0016666666666666668,0.06944444444444445,all distilled,CML
0.16721269395918614,0.0016666666666666668,0.07,all distilled,CML
0.16720085130611187,0.0016666666666666668,0.07055555555555555,all distilled,CML
0.1657793578358158,0.0016666666666666668,0.07111111111111111,all distilled,CML
0.16567042160304274,0.0016666666666666668,0.07166666666666667,all distilled,CML
0.16552300392387354,0.0016666666666666668,0.07222222222222222,all distilled,CML
0.1642916298099239,0.0016666666666666668,0.07277777777777777,all distilled,CML
0.1635203866801811,0.0016666666666666668,0.07333333333333333,all distilled,CML
0.1625857210547601,0.0016666666666666668,0.07388888888888889,all distilled,CML
0.16252470568460803,0.0016666666666666668,0.07444444444444444,all distilled,CML
0.1624535061846752,0.0016666666666666668,0.075,all distilled,CML
0.1615382771459718,0.0016666666666666668,0.07555555555555556,all distilled,CML
0.15929489939762131,0.0016666666666666668,0.07611111111111112,all distilled,CML
0.1579264655534235,0.0016666666666666668,0.07666666666666666,all distilled,CML
0.1575627178478279,0.0016666666666666668,0.07722222222222222,all distilled,CML
0.15720196264339087,0.0016666666666666668,0.07777777777777778,all distilled,CML
0.1568795276325043,0.0016666666666666668,0.07833333333333334,all distilled,CML
0.15657703580111715,0.0016666666666666668,0.07888888888888888,all distilled,CML
0.1554292197879687,0.0016666666666666668,0.07944444444444444,all distilled,CML
0.15514829509089378,0.0016666666666666668,0.08,all distilled,CML
0.15483335069395743,0.0016666666666666668,0.08055555555555556,all distilled,CML
0.15223060331451876,0.0016666666666666668,0.0811111111111111,all distilled,CML
0.15143046333560534,0.0016666666666666668,0.08166666666666667,all distilled,CML
0.15137638182388896,0.0016666666666666668,0.08222222222222222,all distilled,CML
0.15119610475260634,0.0016666666666666668,0.08277777777777778,all distilled,CML
0.14967536459831296,0.0016666666666666668,0.08333333333333333,all distilled,CML
0.1493798303685248,0.0016666666666666668,0.08388888888888889,all distilled,CML
0.14915351946968491,0.0016666666666666668,0.08444444444444445,all distilled,CML
0.1489170556187227,0.0016666666666666668,0.085,all distilled,CML
0.14771177981410305,0.0016666666666666668,0.08555555555555555,all distilled,CML
0.14634312477603933,0.0016666666666666668,0.08611111111111111,all distilled,CML
0.1462052314826851,0.0016666666666666668,0.08666666666666667,all distilled,CML
0.1430393307010423,0.0016666666666666668,0.08722222222222223,all distilled,CML
0.14234335433288986,0.0016666666666666668,0.08777777777777777,all distilled,CML
0.1420930643738422,0.0016666666666666668,0.08833333333333333,all distilled,CML
0.140837681518714,0.0016666666666666668,0.08888888888888889,all distilled,CML
0.14009821466364902,0.0016666666666666668,0.08944444444444444,all distilled,CML
0.13938462231902404,0.0016666666666666668,0.09,all distilled,CML
0.13885523512625952,0.0016666666666666668,0.09055555555555556,all distilled,CML
0.13842437969354476,0.0016666666666666668,0.09111111111111111,all distilled,CML
0.1382181042100838,0.0016666666666666668,0.09166666666666666,all distilled,CML
0.13806065512181687,0.0016666666666666668,0.09222222222222222,all distilled,CML
0.13763821589048209,0.0016666666666666668,0.09277777777777778,all distilled,CML
0.13662874499936162,0.0016666666666666668,0.09333333333333334,all distilled,CML
0.1364485743243104,0.0016666666666666668,0.09388888888888888,all distilled,CML
0.13300604020903078,0.0016666666666666668,0.09444444444444444,all distilled,CML
0.1318469464597279,0.0016666666666666668,0.095,all distilled,CML
0.13081006505186143,0.0016666666666666668,0.09555555555555556,all distilled,CML
0.13079164644887514,0.0016666666666666668,0.0961111111111111,all distilled,CML
0.1307679575330214,0.0016666666666666668,0.09666666666666666,all distilled,CML
