label,group,y,value,density,y_top
R1-Llama student,distilled,2,-0.10154440154440159,0.5486487514003636,2.318216275812211
R1-Llama student,distilled,2,-0.09362934362934383,0.594668983985182,2.3449080107114053
R1-Llama student,distilled,2,-0.08571428571428585,0.646536097563713,2.3749909365869537
R1-Llama student,distilled,2,-0.07779922779922788,0.7036240766458736,2.4081019644546067
R1-Llama student,distilled,2,-0.06988416988417012,0.7641395952643991,2.4432009652533515
R1-Llama student,distilled,2,-0.061969111969112145,0.8250896342182666,2.4785519878465947
R1-Llama student,distilled,2,-0.05405405405405417,0.8822962862747754,2.51173184603937
R1-Llama student,distilled,2,-0.04613899613899619,0.9311819569968232,2.5400855350581573
R1-Llama student,distilled,2,-0.038223938223938436,0.9684439246978505,2.561697476324753
R1-Llama student,distilled,2,-0.03030888030888046,0.9917641258709787,2.5752231930051677
R1-Llama student,distilled,2,-0.022393822393822482,1,2.58
R1-Llama student,distilled,2,-0.014478764478764727,0.9929076486373709,2.575886436209675
R1-Llama student,distilled,2,-0.00656370656370675,0.9730958311955055,2.5643955820933932
R1-Llama student,distilled,2,0.0013513513513512265,0.9427298622737178,2.5467833201187564
R1-Llama student,distilled,2,0.009266409266409203,0.9040860947304149,2.524369934943641
R1-Llama student,distilled,2,0.01718146718146696,0.8590230662717775,2.498233378437631
R1-Llama student,distilled,2,0.025096525096524935,0.8097006156683111,2.4696263570876202
R1-Llama student,distilled,2,0.03301158301158291,0.7576797341549298,2.439454245809859
R1-Llama student,distilled,2,0.04092664092664067,0.7043505059502972,2.4085232934511724
R1-Llama student,distilled,2,0.048841698841698644,0.6512107353872384,2.3777022265245984
R1-Llama student,distilled,2,0.05675675675675662,0.6000009718046767,2.3480005636467123
R1-Llama student,distilled,2,0.0646718146718146,0.5522062011058599,2.3202795966413987
R1-Llama student,distilled,2,0.07258687258687235,0.5090765366488348,2.295264391256324
R1-Llama student,distilled,2,0.08050193050193033,0.4714518653337852,2.273442081893595
R1-Llama student,distilled,2,0.088416988416988307,0.43992746565476726,2.255157930079765
R1-Llama student,distilled,2,0.09633204633204628,0.4135724655406089,2.239872030013553
R1-Llama student,distilled,2,0.10424710424710404,0.3913986437041484,2.227011213348406
R1-Llama student,distilled,2,0.11216216216216202,0.3722166634376858,2.215885664793858
R1-Llama student,distilled,2,0.12007722007721999,0.35497533003314863,2.205885691419226
R1-Llama student,distilled,2,0.12799227799227775,0.338880800433811,2.1965508642516105
R1-Llama student,distilled,2,0.13590733590733572,0.32375728745256194,2.187779226722486
R1-Llama student,distilled,2,0.1438223938223937,0.3098441131915402,2.1797095856510933
R1-Llama student,distilled,2,0.15173745173745168,0.2975718474099961,2.1725916714977975
R1-Llama student,distilled,2,0.15965250965250943,0.2872632895539384,2.166612707941284
R1-Llama student,distilled,2,0.1675675675675674,0.2787161045221997,2.161655340622876
R1-Llama student,distilled,2,0.1754826254826254,0.2715189575678213,2.1574809953893364
R1-Llama student,distilled,2,0.18339768339768314,0.2651173239181052,2.153768047872501
R1-Llama student,distilled,2,0.19131274131274112,0.2589930641052217,2.1502159771810287
R1-Llama student,distilled,2,0.1992277992277991,0.2528208543465377,2.146636095520992
R1-Llama student,distilled,2,0.20714285714285707,0.2465266391987502,2.1429854507352752
